district,address,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Hongkou,水电路191弄,3800.0,1,1,1,0,48,0,public housing,residential,0,1,0,0,1,0,0,0,2
Huangpu,合肥路620号,3800.0,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,玉屏南路725号,3800.0,2,1,1,0,58,0,public housing,residential,1,1,1,0,0,0,0,0,3
Huangpu,合肥路620号,3800.0,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,胶州路190弄6号,3800.0,1,0,1,0,32,0,detached lane house,multi-use,0,1,0,0,0,1,0,0,2
Pudong,商城路918弄8号,3850.0,1,1,1,0,41,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Changning,愚园路1032弄,3890.0,2,1,1,0,27,0,attached lane house,multi-use,1,0,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,3900.0,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路998弄889号,3900.0,1,1,1,0,30,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,3900.0,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,盛家街路80弄5号,3900.0,1,1,1,0,22,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Minhang,东兰路307弄,3960.0,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
